index	line_no	section	name	declared_n	raw_lines	text_rows	multimodal_rows	json_errors	empty_lines	no_conversations	path
0	2	=== flashlitev42_meta.json ===	browseuse_webgym-v0-1-batch001-011-no-navigate-20260731_claude47opus_custom_mac_20260807	1019	1019	1002	17	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/browseuse_webgym-v0-1-batch001-011-no-navigate-20260731_claude47opus_custom_mac_20260807.jsonl
1	3	=== flashlitev42_meta.json ===	browseuse_webgym-v0-1-batch012-016-no-navigate-20260803_claude47opus_custom_mac_20260807	732	732	717	15	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/browseuse_webgym-v0-1-batch012-016-no-navigate-20260803_claude47opus_custom_mac_20260807.jsonl
2	4	=== flashlitev42_meta.json ===	browseuse_webgym-v0-1-batch017-034-no-navigate-20260803_gpt55_custom_mac_20260807	1567	1567	1550	17	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/browseuse_webgym-v0-1-batch017-034-no-navigate-20260803_gpt55_custom_mac_20260807.jsonl
3	5	=== flashlitev42_meta.json ===	codingBasic_algorithm1205easy_claude46opus_20260805	78	78	78	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_algorithm1205easy_claude46opus_20260805.jsonl
4	6	=== flashlitev42_meta.json ===	codingBasic_algorithm1205hard_claude46opus_20260805	551	551	551	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_algorithm1205hard_claude46opus_20260805.jsonl
5	7	=== flashlitev42_meta.json ===	codingBasic_algorithm1205medium_claude46opus_20260805	754	754	754	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_algorithm1205medium_claude46opus_20260805.jsonl
6	8	=== flashlitev42_meta.json ===	codingBasic_codecontestpluseasy_claude46opus_20260805	539	539	539	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_codecontestpluseasy_claude46opus_20260805.jsonl
7	9	=== flashlitev42_meta.json ===	codingBasic_codecontestplushard_claude46opus_20260805	2386	2386	2386	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_codecontestplushard_claude46opus_20260805.jsonl
8	10	=== flashlitev42_meta.json ===	codingBasic_codecontestplusmedium_claude46opus_20260805	1654	1654	1654	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_codecontestplusmedium_claude46opus_20260805.jsonl
9	11	=== flashlitev42_meta.json ===	codingBasic_deepcoderprimeintellecteasy_claude46opus_20260805	346	346	346	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_deepcoderprimeintellecteasy_claude46opus_20260805.jsonl
